TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
68338,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',405 21st Ave,1,Sidewalk: Curb side : Cutout,Private,8/9/93 0:00,13,,37.78008863,-122.4805135
3210,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3800X California St,4,Sidewalk: Curb side : Cutout,Private,3/17/94 0:00,20,3X3,37.78604515,-122.4570221
92290,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2541 21st Ave,1,Sidewalk: Curb side : Cutout,Private,7/27/09 0:00,3,3x3,37.74030176,-122.477721
216034,DPW Maintained,Pittosporum undulatum :: Victorian Box,8 Lobos St,1,Sidewalk: Curb side : Yard,Private,10/5/17 15:11,3,,37.7149744,-122.4530499
13728,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,785 Market St,1,Sidewalk: Curb side : Cutout,DPW,9/12/93 0:00,6,4X4,37.78596118,-122.4053555
231237,Planning Code 138.1 required,Platanus x hispanica :: Sycamore: London Plane,2000 Bryant St,4,Sidewalk: Curb side : Cutout,Private,4/7/20 0:00,3,4x4,37.76139698,-122.4101895
31410,DPW Maintained,Pittosporum undulatum :: Victorian Box,4334 20th St,1,Sidewalk: Curb side : Cutout,Private,5/1/95 0:00,10,,37.75763707,-122.4365771
117243,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,635 GROVE ST,15,Sidewalk: Curb side : Cutout,Private,7/5/16 0:00,3,3x3,37.77703248,-122.4272284
39943,DPW Maintained,Pittosporum undulatum :: Victorian Box,29 Ervine St,1,Sidewalk: Curb side : Cutout,Private,1/25/99 0:00,9,,37.71728776,-122.4084776
5196,Permitted Site,Pittosporum undulatum :: Victorian Box,616 DIVISADERO ST,2,Sidewalk: Curb side : Cutout,Private,12/6/06 0:00,3,3X3,37.77532007,-122.4376837
92488,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2432 Ulloa St,1,Sidewalk: Curb side : Cutout,Private,7/31/09 0:00,2,3x3,37.74094973,-122.4826431
66029,DPW Maintained,Pittosporum undulatum :: Victorian Box,3315 Pierce St,1,Sidewalk: Curb side : Cutout,Private,8/18/90 0:00,8,,37.80064781,-122.4395867
128377,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',27 Waverly Pl,1,Sidewalk: Curb side : Cutout,Private,11/1/18 0:00,3,Width 3ft,37.79365267,-122.4067585
